address,unripeBeans
0xbf8A064c575093bf91674C5045E144A347EEe02E,1
0xC1e607B7730C43C8D15562ffa1ad27B4463DC4c4,1
0xC3853C3A8fC9c454f59c9aeD2Fc6cfa1a41eB20E,1099234286341
0xC45d45b54045074Ed12d1Fe127f714f8aCE46f8c,4927174712
0xc4C09325007915ce44B9304B0B0052275D8422B0,4507158109
0xC579176ddB061a5DE727467d83B30A1bf219a041,2256990961
0xC8ABB314C6FdE10d1679a2ab6f4BDffA462e990D,154716
0xc93678EC2b974a7aE280341cEFeb85984a29FFF7,257782236
0xcC8D6da195f44e9922FDFB12df80c47b4cc46702,11100000
0xD15B5fA5370f0c3Cc068F107B7691e6dab678799,2
0xD20B976584bF506BAf5cC604D1f0A1B8D07138dA,100000000
0xD300f2C6Ee9dA84b1dD8E3e24FF5Ae875772b55e,2
0xD497Ed50BE7A80788898956f9a2677eDa71D027E,5405819521
0xD4ccCdedAAA75E15FdEdDd6D01B2af0a91D42562,19010941107
0xd582359cC7c463aAd628936d7D1E31A20d6996f3,3845038437
0xD6626eA482D804DDd83C6824284766f73A45D734,2057952223
0xd9dFfbF57621be31A157F696E464cc729FDc0E64,3992999694
0xDB2480a43C79126F93Bd5a825dc0CBa46d7C0612,995000
0xddA42f12B8B2ccc6717c053A2b772baD24B08CbD,173440185
0xdDF06174511F1467811Aa55cD6Eb4efe0DfFc2E8,2
0xdeFecffBEA31b18B14703e10Ac81da2Ed8C5762A,669212925
0xE146313a9D6D6cCdd733CC15af3Cf11d47E96F25,1
0xe57384b12A2b73767cDb5d2eadDFD96cC74753a6,230700000
0xE8eA41F87Bbd365a3ec766e35ac4aC1d6A5E760a,1261772678
0xeA747056c4a5d2A8398EC64425989Ebf099733E9,434278487
0xEaFc0e4AcF147e53398A4c9AE5F15950332Cce06,38603139050
0xeb11255b15600390e60a7aa1FBe1C821F6D0FD8a,1
0xF19e9B808Eca47dB283de76EEd94FbBf3E9FdF96,57138671
0xf5aA301b1122B525Ab7d6bc5F224B15Bac59e1f2,2612211469
0xF871f8c17c571c158b4b5d18802cc329Ee9F19dF,5238747
0xfcBa05D5556b6A450209A4c9E2fe9a259C84d50F,11402165197
0xfcFAf5f45D86Fa16eC801a8DeFEd5D2cB196D242,2440875253
0x000000000000084e91743124a982076C59f10084,1
0x0000000000003f5e74C1ba8A66b48E6f3d71aE82,1
0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,1
0x000000000035B5e5ad9019092C665357240f594e,87
0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,4397
0x00000000003E04625c9001717346dD811AE5Eba2,59368526
0x000000001ada84C06b7d1075f17228C34b307cFA,1100048912
0x00000000500e2fece27a7600435d0C48d64E0C00,35019
0x000000005736775Feb0C8568e7DEe77222a26880,27
0x00000000a1F2d3063Ed639d19a6A56be87E25B1a,5
0x001AC61da3301BeFE1F94abc095Bb9732b69F362,183711553
0x002505eefcBd852a148f03cA3451811032A72f96,1
0x00427C81629Cd592Aa068B0290425261cbB8Eba2,2
0x0063886D458CC0790a170dEBA645A0bcCC7f44D9,1
0x006b4b47C7F404335c87E85355e217305F97E789,4960
0x0081aFa76cDf86b4Dd3D1196db559471b229ED16,100000000
0x0086e622aC7afa3e5502dc895Fd0EAB8B3A78D97,1
0x008D63fab8179Ee0aE2082Bb57C72ED0c61f990f,5648
0x01FF6318440f7D5553a82294D78262D5f5084EFF,1
0x0255b20571acc2e1708ADE387b692360537F9e89,1
0x029D058CFdBE37eb93949e4143c516557B89EB3c,2
0x02df7e960FFda6Db4030003D1784A7639947d200,2387
0x031B8ece36b2C1f14C870421A1989AEbe3d7bcFa,1
0x034E617D90Eba96b47a555D1d9B1BedbFF196044,7170741
0x035bb6b7D76562320dFFb5ec23128ED1541823cf,159840729
0x0440bDd684444f1433f3d1E0208656abF9993C52,2
0x0536f43136d5479310C01f82De2C04C0115217A6,6000000000
0x0562695929503E930DE265F944B899dEBF93Df7c,5111
0x057a8F9253949d2e6752161b0aD6ba6d28f37044,226471578
0x0679bE304b60cd6ff0c254a16Ceef02Cb19ca1B8,944607
0x0694356524F17a18A0Ac3e1d8e767eeEBd8A4ad9,2080
0x07197a25bF7297C2c41dd09a79160D05b6232BcF,1
0x07432d559Fa617b6e23a516f9A6187440FbFB086,1
0x077165031d8d46B52368A8C92E8333437fb60EF8,1
0x0b3b1DD110bB02f40A5161478149d09c5ef46F7e,5696
0x0Ba9e984768B8A4fe28c657Bf858f128429850b5,200745286
0x0BE0f09aDc19334286027Ed281B612A49893Cd9A,5
0x0bFD9FC73C82bE0558f3A651F10a8BD8c784F45E,10323736
0x0c565f3A167Df783cF6Bb9fcF174E6C7D0d3892B,3
0x0cE80210EAfd8b7d5E55F611150509998c3bd9B3,5474197
0x0d07708d0E155865D9baEe9963E16ddd46F5dECF,394912
0x0d0ac94a91badd82264ABaeB355504AE9587Aa82,400000000
0x0D9326f283D8Ca7EEEA4d323d07a0C9c0ab1A192,1
0x0DBFe040866BBF36f0231b589d26020bBAb923D2,1
0x0DE299534957329688a735d03961dBd848A5f87f,1
0x0e109847630A42fc85E1D47040ACAd1803078DCc,1
0x0E9a7280741E9B018beb5Fe409e6e21689F3B8EF,6315
0x0f35218B2005F24a617996B691E71BCB433a329D,1
0x0f5F4b5b7ca352cf4F5f2fc1Ac8A9889DECc4fCB,2280722507
0x0FBF5E9C8D7cB0AeDd6F02Df0018178099c7d76A,1
0x0FF2FAa2294434919501475CF58117ee89e2729c,387003
0x10527A1232287Ad8c408848A56b7D0471BB23daB,2419
0x1083D7254E01beCd64C3230612BF20E14010d646,20000564205
0x10E1439455BD2624878b243819E31CfEE9eb721C,20000000
0x116E7Dbd690D6624FEeF080b9e8EbD6f967Fe315,1945
0x1193C9F3E10DEFBd5cF956575aAF5aBEAcC1b068,1
0x11b197e2C61c2959Ae84bC7f9db8E3fEFe511043,3424
0x11eDedebF63bef0ea2d2D071bdF88F71543ec6fB,164459514
0x1202fBA35cc425c07202BAA4b17fA9a37D2dBeBb,365
0x12481a91479a750dE5Fd6Ded5741Fc87671E30Af,1
0x12985a83081288BecABf59F76e5549dBE39Af4d6,90437654
0x12Ed7C9007Cf0CB79b37E33D0244aD90c2a65C0B,2
0x12f1412fECBf2767D10031f01D772d618594Ea28,2169928334
0x130FFD7485A0459fB34B9adbeCf1a6dDa4A497d5,8205939
0x1397c24478cBe0a54572ADec2A333f87Ad75Ac02,43337
0x13e551F9B35332e07EEC5F112C5D89d348be37A9,1
0x1406899696aDb2fA7a95eA68E80D4f9C82FCDeDd,42069000
0x141B5A59B40EFCFE77D411cAd4812813F44A7254,4843
0x14F78BdCcCD12c4f963bd0457212B3517f974b2b,2
0x14FC66BeBdBe500D1ee86FA3cBDc4d201E644248,541659832
0x152d08D7e74106A5681C8963E253d039c3e76859,194246881
0x15390A3C98fa5Ba602F1B428bC21A3059362AFAF,6684
0x15884aBb6c5a8908294f25eDf22B723bAB36934F,1444
0x15D6D330f374A796210EFc1445F1F3eA07A0b1EF,1
0x15E0fd12e6Fb476Dc4A1EAFF3e02b572A6Ba6C21,10000000
0x15e6e23b97D513ac117807bb88366f00fE6d6e17,1260
0x162852F5D4007B76D3CDc432945516b9bBf1A01f,1
0x164d71EE20a76d5ED08A072E3d368346F72640a9,1
0x165b3C18eAb1D24F8bA1E25027698932482B67Ee,978
0x16785ca8422Cb4008CB9792fcD756ADbEe42878E,226591
0x168cBd46d6D12da3C3FF2FAB191De5be4675bBB1,8220
0x16942d62E8ad78A9026E41Fab484C265FC90b228,101714
0x182D4B08462CD5B79080d77C2B149F04d330D24b,1
0x1897EcfC9Df8Ca7F360D271c84E3d8567460202d,1
0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,18684900
0x18E50551445F051970202E2b37Ac1F0cF7dD6ADD,673
0x1907e1ab7791bB0c7A2b201b38e33da99d15285e,9126
0x19831b174e9deAbF9E4B355AadFD157F09E2af1F,2
0x19A4FE7D0C76490ccA77b45580846CDB38B9A406,345547027
0x19c5baD4354e9a78A1CA0235Af29b9EAcF54fF2b,2
0x1A2d5fb134f5F2a9696dd9F47D2a8c735cDB490d,1
0x1a8A0255e8B0ED7C596D236bf28D57Ff3978899b,2752
0x1A96Db12AD7f0c9f91C538d16c39C360b5E8Fb21,2412
0x1AcA324b0Bd83e45Ca24Fc8ee5d66e72597A8c9b,1
0x1b11CbCb7AB40A6ffeaA80aEeD13b6A99e2c2254,8341
0x1B15ED3612CD3077ba4437a1e2B924C33d4de0F9,1
0x1ba5C10C52c3Ab0A4a33c4D8D2a5AFD9f93147Ed,1
0x1bb9b8dB251BAbF5e6bB7AA7795E4814C0b72471,1
