address,stalk,seeds
0x4438767155537c3eD7696aeea2C758f9cF1DA82d,92432,16
0x4465c4474703BB199c6ed15C97b6E32BD211Cf9d,37108,8
0x44db0002349036164dD46A04327201Eb7698A53e,12120,4
0x4515957DAF1c5a1Cd2E24D000E909A0Ff6bE1975,49400,10
0x468325e9Ed9bbEF9e0B61F15BFfa3A349bf11719,991308,220
0x47217E48daAf7fe61486b265f701D449a8660A94,84716,20
0x4779c6a1cB190221Fc152AF4B6adB2eA5c5DBd88,23256,4
0x483CDC51a29Df38adeC82e1bb3f0AE197142a351,945392,164
0x48493Cf5D4f5bbfe2a6a5498E1Da6aB1B00C7D39,124664,26
0x486d28706bcef411CBFe8fE357c287496A518DEA,33992,4
0x48A2bC5DC9e3c5c0421E0483bF0648AaEE87daca,266972,64
0x48A5A6a01bA89cDdF97D2D552923d5a11401Ed19,159254,34
0x49072cd3Bf4153DA87d5eB30719bb32bdA60884B,43432,8
0x4949D9db8Af71A063971a60F918e3C63C30663d7,20370,4
0x4950215d3cd07A71114F2dDDAFA1F845C2cD5360,64944,12
0x4962664aB3bE8f478e59F4A1A629a32F5A4C79b2,197676,34
0x4A337d1dF22d0D3077CaEFd083A1b70AA168d087,437656,108
0x4A5867445A1Fa5F394268A521720D1d4E5609413,103152,32
0x4AAE8E210F814916778259840d635AA3e73A4783,23398,2
0x4Ca3E5bDf3823fEBbE18F9664cdEd14b7243971C,481440,84
0x4E2572d9161Fc58743A4622046Ca30a1fB538670,4756,2
0x4E3E7d5183e42Fa4C5C4E223534A5307B5dAD6e9,127964,22
0x4E51f0a242bf6E98bE03Eb769CC5944831DcE87a,113568,18
0x4F70FFDdAb3c60Ad12487b2906E3E46d8bC72970,21768,4
0x4F8D7711d18344F86A5F27863051964D333798E2,2207880,428
0x4a2D3C5B9b6dd06541cAE017F9957b0515CD65e2,163584,32
0x4ab746092Fb040DBd02a41DEEb2D6933057eEF13,46456,8
0x4ac9a97b3edb3f11b5ca91d8dE9468CF4882A7af,144052,30
0x4ba91dD5D555EcED4589e70dd1B9962773709406,34200,6
0x4bf44E0c856d096B755D54CA1e9CFdc0115ED2e6,218820,52
0x4c180462A051ab67D8237EdE2c987590DF2FbbE6,4484020,1192
0x4ceB640Af5c94eE784eeFae244245e34b48ec4f6,92096,16
0x4d2010DFC88A89DD8479EEAb8e5f95B4cFfCDE45,67014,14
0x4e2A5a06934c35c83F7066bCa8Bc30f5F1685466,19614,6
0x4fCD42eb2557E49C0201Fb3283CfF62c1BaF0Fb4,115184,22
0x515755b2c5A209976CF0de869c30f45aC7495a60,80624,14
0x51Cf86829ed08BE4Ab9ebE48630F4d2Ed9f54F56,18396,6
0x51E7b8564F50ec4ad91877e39274bdA7E6eb880A,41272,8
0x521415eEc0f5bec71704Aaaf9aE0aFe70323FfAB,21772,2
0x5270B883D12e6402a20675467e84364A2Eb542bF,92928,16
0x52EAa3345a9b68d3b5d52DA2fD47EbFc5ed11d4e,469436,152
0x52c9A7E7D265A09Db125b7369BC7487c589a7604,23232,4
0x52ccFf5c85314bbe4D9C019EE57E5B45Ad08B0Db,175236,40
0x52d3aBa582A24eeB9c1210D83EC312487815f405,1255508,264
0x5338035c008EA8c4b850052bc8Dad6A33dc2206c,46492,8
0x533af56B4E0F3B278841748E48F61566E6C763D6,492216,92
0x53dC93b33d63094770A623406277f3B83a265588,192222,44
0x540dC960E3e10304723bEC44D20F682258e705fC,21468,6
0x55493d2bf0860B23a6789E9BEfF8D03CE03911cd,441088,80
0x558B202d7D87B290bDB7B82DFEd9dD82D4BB1ecF,34674,6
0x558C4aFf233f17Ac0d25335410fAEa0453328da8,10160,2
0x561Cbb53ba4d7912Dbf9969759725BD79D920e2C,98272,32
0x562f223a5847DaAe5Faa56a0883eD4d5e8EE0EE0,21968,4
0x563F036896c19C6f4287fbE69c10bb63FAC717D6,205312,86
0x575C9606CfcCF6F93D2E5a0C37d2C7696BCab132,68784,12
0x575E1701fCa9D40c4534576fCec320CFe22Bc561,190214,38
0x5767795b4eFbF06A40cb36181ac08f47CDB0fcEc,579632,100
0x576A4d006543d7Ba103933d6DBd1e3Cdf86E22d3,19042,4
0x57B649E1E06FB90F4b3F04549A74619d6F56802e,104568,18
0x57a4342ED31c8f53e164EF28B0182620d20290A5,34050,6
0x58024B6C1005dE40eAC2D4c06bC947ebf2a302Af,50806,12
0x582500328b34CdC66d6c07fA1cf4720e65524fEc,69752,12
